tekst,dimensioon,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
stiimul_ee.ela_330566.txt,abs,0,0.5,0,0,1,1,0.5,1,0.5,1
,info,1,0,3,2,2,1,2,1,1,2
,aeg,0,0,0,1,0,0,0,0,0,0.5
,afek,0,0,1,0,0,1,1,0.5,1,1
,form,0.5,1,0,0,2,1,2,2,2,0
,inter,3,2,1,1,0,1,0,0,3,1
,spont,0,0,0,1,0,0,0,0,0,1
,imp,1,0,0,0.5,0.5,1,1,2,1,1
,arg,0.5,0,1,1,0,0.5,1,0,2,0
,inst,0,0,0,0,0,0,0,0,0,0
,keer,1,0,1,0.5,0,0,1,0,1,0
,subj,1,1,1,1,1,1,0,0,1,0
www_seduction_ee.ela_642092.txt,abs,1,2,1,0,3,0,2,3,2,0
,info,0,1,1,0.5,0.5,0,0.5,0,0,0.5
,aeg,0,0,0,0,0,1,1,0,0,2
,afek,3,2,3,3,3,3,3,2,3,3
,form,0,0,0,0,0,0,0.5,0.5,0.5,0
,inter,2,1,3,1,0,0,1,0,1,0
,spont,0.5,0,3,2,3,2,3,1,3,0.5
,imp,0,0,0,0.5,1,0,1,2,0,0.5
,arg,3,2,1,2,1,0.5,2,0,1,0
,inst,0,0,0,0,0,1,0,0,3,0
,keer,0,1,0,2,1,0,0,0,0.5,1
,subj,3,3,3,3,3,1,3,2,3,3
www_kohus_ee.ela_34731.txt,abs,1,0,0,0,0,0,0,0,0,1
,info,2,0,3,2,3,2,2,2,3,2
,aeg,3,2,2,2,3,2,1,3,0.5,2
,afek,0,0.5,0.5,0.5,1,3,0,1,0,0
,form,3,3,2,1,2,0.5,1,0.5,3,2
,inter,3,0.5,2,0,0,0,0.5,0,3,0
,spont,0,0,0.5,0,0,1,0.5,0,1,0.5
,imp,3,0,0,2,2,0,0.5,2,2,0
,arg,0,0.5,0.5,0.5,0,3,2,2,0.5,3
,inst,0,0,0,2,2,0.5,0,0,3,0
,keer,0.5,1,1,0.5,2,0,1,2,2,1
,subj,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
www_lapsemure_ee.ela_140896.txt,abs,2,0.5,0,0.5,2,0,1,0,0,3
,info,0.5,2,1,2,0.5,0.5,0.5,0.5,1,0.5
,aeg,0,2,3,2,2,0.5,3,1,2,0.5
,afek,3,2,3,3,2,2,3,2,3,2
,form,1,1,1,0.5,0.5,0.5,0.5,1,1,0
,inter,3,3,0,1,0,1,3,0,3,0
