tekst,dimensioon,vastaja 1,vastaja 2,vastaja 3,vastaja 4,vastaja 5,vastaja 6,vastaja 7,vastaja 8,vastaja 9,vastaja 10,võrdlused
,spontaansus,1,1,,,,,,,,,static_inimene_ee.ela_194968.txt www_hambaarst_ee.ela_423040.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,1,1,,,,,,,,,www_hambaarst_ee.ela_423040.txt
www_soudeliit_ee.ela_547578.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,2,1,1,2,,,,,,bhr_balanss_ee.ela_565106.txt www_lemmik_ee.ela_519214.txt
,aja olulisus,3,3,1,2,2,2,1,2,2,,bhr_balanss_ee.ela_565106.txt www_lemmik_ee.ela_519214.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,1,2,1,,,,,,,www_lemmik_ee.ela_519214.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,,,,,,,,,,bhr_balanss_ee.ela_565106.txt
,keerukus,,,,,,,,,,,
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,,,,,,,,,,et_wikipedia_org.ela_191506.txt
,impersonaalsus,2,2,3,2,2,1,3,,,,et_wikipedia_org.ela_191506.txt www_ekspress_ee.ela_495829.txt
,argumentatiivsus,,,,,,,,,,,
www_bioneer_ee.ela_243230.txt,abstraktsus,2,2,3,,,,,,,,www_xn--eestimngula-q8a_ee.ela_40079.txt static_inimene_ee.ela_194968.txt
,infotihedus,3,2,2,3,,,,,,,www_xn--eestimngula-q8a_ee.ela_40079.txt static_inimene_ee.ela_194968.txt
,aja olulisus,2,1,1,2,1,2,1,1,,,www_xn--eestimngula-q8a_ee.ela_40079.txt static_inimene_ee.ela_194968.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,3,3,3,2,3,3,2,3,3,2,nami-nami_ee.ela_372868.txt www_xn--eestimngula-q8a_ee.ela_40079.txt
,interaktiivsus,1,1,1,,,,,,,,nami-nami_ee.ela_372868.txt www_xn--eestimngula-q8a_ee.ela_40079.txt
,instrueerivus,2,2,2,2,,,,,,,www_ekspress_ee.ela_177019.txt static_inimene_ee.ela_194968.txt
,keerukus,2,2,2,2,2,2,1,,,,www_ekspress_ee.ela_177019.txt static_inimene_ee.ela_194968.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,2,1,,,,,,,,,nami-nami_ee.ela_372868.txt
,impersonaalsus,3,3,3,3,2,2,2,,,,nami-nami_ee.ela_372868.txt www_ekspress_ee.ela_177019.txt
,argumentatiivsus,2,2,2,,,,,,,,nami-nami_ee.ela_372868.txt
arvamusaed_ee.ela_6007.txt,abstraktsus,1,1,1,2,,,,,,,www_politsei_ee.ela_163441.txt rahvahaal_delfi_ee.ela_388979.txt
,infotihedus,2,,,,,,,,,,rahvahaal_delfi_ee.ela_388979.txt
,aja olulisus,1,2,1,2,,,,,,,www_politsei_ee.ela_163441.txt rahvahaal_delfi_ee.ela_388979.txt
,afektiivsus,2,1,2,2,1,,,,,,et_wikipedia_org.ela_467359.txt
,formaalsus,1,2,1,,,,,,,,rahvahaal_delfi_ee.ela_388979.txt
,interaktiivsus,1,2,,,,,,,,,et_wikipedia_org.ela_467359.txt
,instrueerivus,1,2,,,,,,,,,www_politsei_ee.ela_163441.txt www_eestigiid_ee.ela_530847.txt
,keerukus,,,,,,,,,,,
,subjektiivsus,3,2,3,2,2,3,1,2,2,2,www_politsei_ee.ela_163441.txt www_eestigiid_ee.ela_530847.txt
,spontaansus,1,1,,,,,,,,,et_wikipedia_org.ela_467359.txt www_eestigiid_ee.ela_530847.txt
,impersonaalsus,2,3,2,,,,,,,,et_wikipedia_org.ela_467359.txt
,argumentatiivsus,1,3,2,2,2,2,2,2,2,,et_wikipedia_org.ela_467359.txt www_eestigiid_ee.ela_530847.txt
rahvahaal_delfi_ee.ela_388979.txt,abstraktsus,2,2,1,2,,,,,,,kalah_zzz_ee.ela_73709.txt arvamusaed_ee.ela_6007.txt
,infotihedus,2,3,2,2,2,,,,,,kalah_zzz_ee.ela_73709.txt arvamusaed_ee.ela_6007.txt
,aja olulisus,1,2,2,2,,,,,,,kalah_zzz_ee.ela_73709.txt arvamusaed_ee.ela_6007.txt
,afektiivsus,2,3,2,3,3,3,2,3,2,3,arvamusaed_ee.ela_6007.txt www_epl_ee.ela_495381.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,3,2,2,1,,,,,,arvamusaed_ee.ela_6007.txt www_epl_ee.ela_495381.txt
,instrueerivus,1,2,1,1,,,,,,,kalah_zzz_ee.ela_73709.txt www_tarbijakaitse_ee.ela_199918.txt
,keerukus,1,,,,,,,,,,kalah_zzz_ee.ela_73709.txt
,subjektiivsus,3,3,2,3,3,3,,,,,kalah_zzz_ee.ela_73709.txt www_tarbijakaitse_ee.ela_199918.txt
,spontaansus,2,1,1,1,1,2,1,,,,www_tarbijakaitse_ee.ela_199918.txt www_epl_ee.ela_495381.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,2,3,3,3,3,3,2,1,,,www_tarbijakaitse_ee.ela_199918.txt www_epl_ee.ela_495381.txt
www_tootukassa_ee.ela_395777.txt,abstraktsus,1,1,2,2,3,,,,,,blablabla_ee.ela_504829.txt www_mod_gov_ee.ela_178680.txt
,infotihedus,3,2,3,3,3,2,2,2,3,,blablabla_ee.ela_504829.txt www_mod_gov_ee.ela_178680.txt
,aja olulisus,1,2,2,,,,,,,,blablabla_ee.ela_504829.txt www_mod_gov_ee.ela_178680.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,3,3,3,3,3,3,3,3,3,3,blablabla_ee.ela_504829.txt www_ekspress_ee.ela_177019.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,2,2,2,2,1,3,3,3,,www_le_ee.ela_240831.txt www_mod_gov_ee.ela_178680.txt
,keerukus,2,1,3,1,1,2,,,,,www_le_ee.ela_240831.txt www_mod_gov_ee.ela_178680.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,3,3,3,3,3,3,3,2,,www_ekspress_ee.ela_177019.txt www_le_ee.ela_240831.txt
,argumentatiivsus,2,1,3,2,,,,,,,www_ekspress_ee.ela_177019.txt www_le_ee.ela_240831.txt
blablabla_ee.ela_504829.txt,abstraktsus,1,1,,,,,,,,,www_tootukassa_ee.ela_395777.txt www_director_ee.ela_529643.txt
,infotihedus,,,,,,,,,,,
,aja olulisus,1,2,2,1,2,1,,,,,www_tootukassa_ee.ela_395777.txt www_director_ee.ela_529643.txt
,afektiivsus,3,2,1,3,3,1,1,2,3,2,www_tootukassa_ee.ela_395777.txt www_jeesusekristusekirik_ee.ela_65555.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,3,2,3,1,2,,,,,www_tootukassa_ee.ela_395777.txt www_jeesusekristusekirik_ee.ela_65555.txt
,instrueerivus,,,,,,,,,,,
,keerukus,2,1,2,,,,,,,,www_seduction_ee.ela_642092.txt www_director_ee.ela_529643.txt
,subjektiivsus,2,2,2,2,2,3,,,,,www_seduction_ee.ela_642092.txt www_director_ee.ela_529643.txt
,spontaansus,1,2,2,1,,,,,,,www_seduction_ee.ela_642092.txt www_jeesusekristusekirik_ee.ela_65555.txt
,impersonaalsus,2,,,,,,,,,,www_seduction_ee.ela_642092.txt
,argumentatiivsus,3,,,,,,,,,,www_jeesusekristusekirik_ee.ela_65555.txt
forte_delfi_ee.ela_88079.txt,abstraktsus,1,,,,,,,,,,www_eestisport_ee.ela_196071.txt
,infotihedus,2,2,2,2,3,2,2,,,,rahvahaal_delfi_ee.ela_258274.txt www_eestisport_ee.ela_196071.txt
,aja olulisus,1,2,,,,,,,,,www_eestisport_ee.ela_196071.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,1,,,,,,,,,rahvahaal_delfi_ee.ela_258274.txt
,interaktiivsus,1,1,,,,,,,,,rahvahaal_delfi_ee.ela_258274.txt
,instrueerivus,3,3,3,2,3,3,2,1,2,,www_emta_ee.ela_522725.txt www_eestisport_ee.ela_196071.txt
,keerukus,2,,,,,,,,,,www_eestisport_ee.ela_196071.txt
,subjektiivsus,1,1,2,1,1,2,2,1,,,www_emta_ee.ela_522725.txt www_eestisport_ee.ela_196071.txt
,spontaansus,1,1,2,1,,,,,,,www_naisteleht_ee.ela_355886.txt www_emta_ee.ela_522725.txt
,impersonaalsus,2,1,2,2,2,2,2,,,,www_naisteleht_ee.ela_355886.txt www_emta_ee.ela_522725.txt
,argumentatiivsus,2,2,2,2,2,1,1,3,,,www_naisteleht_ee.ela_355886.txt www_emta_ee.ela_522725.txt
rahvahaal_delfi_ee.ela_258274.txt,abstraktsus,1,2,1,,,,,,,,www_lounaleht_ee.ela_576969.txt
,infotihedus,2,1,2,,,,,,,,www_lounaleht_ee.ela_576969.txt
,aja olulisus,1,1,1,2,1,1,,,,,forte_delfi_ee.ela_88079.txt www_lounaleht_ee.ela_576969.txt
,afektiivsus,3,2,2,3,3,2,2,3,3,3,www_eramets_ee.ela_479405.txt forte_delfi_ee.ela_88079.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,1,,,,,,,,,www_eramets_ee.ela_479405.txt forte_delfi_ee.ela_88079.txt
,instrueerivus,1,2,1,1,,,,,,,www_lounaleht_ee.ela_576969.txt www_dragon_ee.ela_303548.txt
,keerukus,1,,,,,,,,,,www_dragon_ee.ela_303548.txt
,subjektiivsus,2,3,3,3,3,3,2,,,,www_lounaleht_ee.ela_576969.txt www_dragon_ee.ela_303548.txt
,spontaansus,1,2,1,1,1,,,,,,www_eramets_ee.ela_479405.txt
,impersonaalsus,3,2,,,,,,,,,www_dragon_ee.ela_303548.txt
,argumentatiivsus,2,1,2,2,3,3,2,,,,www_eramets_ee.ela_479405.txt www_dragon_ee.ela_303548.txt
www_porterracing_ee.ela_609577.txt,abstraktsus,1,,,,,,,,,,mesindus_ee.ela_210638.txt
,infotihedus,2,2,1,2,1,2,1,2,,,www_naisteleht_ee.ela_355886.txt mesindus_ee.ela_210638.txt
,aja olulisus,3,2,2,2,3,2,,,,,www_naisteleht_ee.ela_355886.txt mesindus_ee.ela_210638.txt
,afektiivsus,3,3,3,2,2,1,2,1,,,mesindus_ee.ela_210638.txt www_eestigiid_ee.ela_530847.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,1,,,,,,,,,www_horisont_ee.ela_455809.txt
,keerukus,1,1,,,,,,,,,www_naisteleht_ee.ela_355886.txt
,subjektiivsus,3,2,3,2,2,1,2,3,1,,www_naisteleht_ee.ela_355886.txt www_horisont_ee.ela_455809.txt
,spontaansus,2,2,1,2,2,1,,,,,www_horisont_ee.ela_455809.txt www_eestigiid_ee.ela_530847.txt
,impersonaalsus,2,2,,,,,,,,,www_horisont_ee.ela_455809.txt
,argumentatiivsus,1,1,,,,,,,,,www_eestigiid_ee.ela_530847.txt
www_horisont_ee.ela_455809.txt,abstraktsus,2,1,3,2,2,1,1,,,,et_wikipedia_org.ela_467359.txt www_pealinn_ee.ela_132426.txt
,infotihedus,3,2,3,1,3,2,,,,,et_wikipedia_org.ela_467359.txt www_pealinn_ee.ela_132426.txt
,aja olulisus,2,2,2,2,3,,,,,,et_wikipedia_org.ela_467359.txt www_pealinn_ee.ela_132426.txt
,afektiivsus,1,1,,,,,,,,,www_pealinn_ee.ela_132426.txt www_vorumaateataja_ee.ela_494965.txt
,formaalsus,1,1,2,1,,,,,,,www_pealinn_ee.ela_132426.txt www_vorumaateataja_ee.ela_494965.txt
,interaktiivsus,1,1,,,,,,,,,www_pealinn_ee.ela_132426.txt www_vorumaateataja_ee.ela_494965.txt
,instrueerivus,2,2,1,,,,,,,,www_porterracing_ee.ela_609577.txt et_wikipedia_org.ela_467359.txt
,keerukus,2,1,2,1,2,2,1,,,,www_porterracing_ee.ela_609577.txt et_wikipedia_org.ela_467359.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,1,2,2,2,3,3,2,2,,,www_porterracing_ee.ela_609577.txt www_vorumaateataja_ee.ela_494965.txt
,argumentatiivsus,2,2,1,2,1,1,1,,,,www_porterracing_ee.ela_609577.txt www_vorumaateataja_ee.ela_494965.txt
www_pealinn_ee.ela_132426.txt,abstraktsus,,,,,,,,,,,
,infotihedus,3,2,3,2,2,2,2,3,,,www_horisont_ee.ela_455809.txt www_advent_ee.ela_658698.txt
,aja olulisus,1,1,2,2,,,,,,,www_horisont_ee.ela_455809.txt www_advent_ee.ela_658698.txt
,afektiivsus,1,2,2,2,3,2,2,1,1,,www_europarl_ee.ela_36110.txt www_horisont_ee.ela_455809.txt
,formaalsus,1,2,1,,,,,,,,www_horisont_ee.ela_455809.txt
,interaktiivsus,1,2,1,,,,,,,,www_europarl_ee.ela_36110.txt www_horisont_ee.ela_455809.txt
,instrueerivus,,,,,,,,,,,
,keerukus,2,3,2,2,1,3,2,2,1,,valitsus_ee.ela_132104.txt www_advent_ee.ela_658698.txt
,subjektiivsus,3,1,1,3,1,2,1,,,,valitsus_ee.ela_132104.txt www_advent_ee.ela_658698.txt
,spontaansus,2,1,1,1,1,,,,,,www_europarl_ee.ela_36110.txt valitsus_ee.ela_132104.txt
,impersonaalsus,2,2,2,2,3,,,,,,www_europarl_ee.ela_36110.txt valitsus_ee.ela_132104.txt
,argumentatiivsus,2,2,1,2,3,3,3,,,,www_europarl_ee.ela_36110.txt valitsus_ee.ela_132104.txt
www_3dnews_ee.ela_435253.txt,abstraktsus,2,2,1,2,3,,,,,,www_nami-nami_ee.ela_456341.txt www_delfi_ee.ela_361703.txt
,infotihedus,1,3,3,3,2,2,2,3,3,,www_nami-nami_ee.ela_456341.txt www_delfi_ee.ela_361703.txt
,aja olulisus,,,,,,,,,,,
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,1,2,1,2,2,3,2,,www_nami-nami_ee.ela_456341.txt untitled.txt
,interaktiivsus,1,,,,,,,,,,www_nami-nami_ee.ela_456341.txt
